"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 016",,"NONE","0061SDM","Storm Drainage Mgmt Operations",,"NONE","QV","Contractual & Other Services","0","(18 860,98)","18 860,98","0"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU",,"NONE","QM","Supplies & Materials","0","(14 466,81)","14 466,81","0"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU",,"NONE","QV","Contractual & Other Services","0","(247,79)","247,79","0"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.17","Neighborhood Code Compliance Services","QV","Contractual & Other Services","4 510 251","(30,8)","4 368 138,22","4 368 107,42"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.54","Water Planning, Financial and Rate Services","QM","Supplies & Materials","233 150","0","96 232,42","96 232,42"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","TR","Transfers Out","242 437","0","0","0"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.4700000000000002","Traffic Operations Maintenance","RC","Capital Outlay","0","0","46 500","46 500"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.2000000000000002","Floodplain and Drainage Management","RC","Capital Outlay","20 000","0","0","0"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.2000000000000002","Floodplain and Drainage Management","RE","Reimbursements","(26 000)","0","0","0"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.33","Special Operations","PS","Personnel Services","6 087 462","0","5 993 018,8","5 993 018,8"
"2 016","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.G","Disposal of Surplus and Police Unclaimed Property","QM","Supplies & Materials","7 862","0","6 647,29","6 647,29"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","PS","Personnel Services","30 159 858","0","32 323 663,49","32 323 663,49"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.18","Municipal Judges/Cases Docketed","PS","Personnel Services","1 829 318","0","1 930 276,88","1 930 276,88"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.52","Water Capital Funding","WN","Interest On Notes-Debt Service","25 000","0","0","0"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","RC","Capital Outlay","0","0","2 376 461,56","2 376 461,56"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.57","Street Forestry Division","RC","Capital Outlay","180 636","0","0","0"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","RE","Reimbursements","(387 231)","0","(385 874,18)","(385 874,18)"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.08","Community/Senior Services","PS","Personnel Services","1 750 037","0","1 650 238,27","1 650 238,27"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","RE","Reimbursements","(1 261 642)","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.27","Police Investigations of Narcotics Related Crimes","RE","Reimbursements","(276 000)","0","(510 601,35)","(510 601,35)"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.32","Financial Reporting","RE","Reimbursements","(303 260)","0","(149 712,89)","(149 712,89)"
